Date,gold_cond_vol,silver_cond_vol
2021-11-11,0.8492769978424586,1.437450960949101
2021-11-12,0.8392161086432762,1.4862691522599953
2021-11-15,0.8215126129503643,1.4520733941102728
2021-11-16,0.8046022084362102,1.4286721139180156
2021-11-17,0.8053636699262797,1.4232275180413172
2021-11-18,0.8135840939804041,1.4063849309292173
2021-11-19,0.7997736569525754,1.3897595635355637
2021-11-22,0.8028818374991149,1.3742993578639813
2021-11-23,0.9415109172451509,1.4082906987731951
2021-11-24,0.9406767824525343,1.4450122528164238
2021-11-26,0.9184125135044182,1.4173297608476603
2021-11-29,0.8975861141268971,1.4567705517644842
2021-11-30,0.877365476390861,1.440347238001804
2021-12-01,0.8715479122830536,1.4103933889124258
2021-12-02,0.8559509416771651,1.4832074994057538
2021-12-03,0.8467571845865568,1.4539487662114996
2021-12-06,0.8483827080599547,1.4309625675933726
2021-12-07,0.8315922908260698,1.4058395607296876
2021-12-08,0.8168329486976733,1.3778760930544152
2021-12-09,0.7991805668319436,1.3473251229137022
2021-12-10,0.7952644598009008,1.4171582041439272
2021-12-13,0.7837774279553842,1.4032489794067835
2021-12-14,0.7692680874646821,1.3765053804600949
2021-12-15,0.7842596419641612,1.3876741250775075
2021-12-16,0.7734978933089184,1.3606990611388006
2021-12-17,0.8037136489036036,1.3990531323292998
2021-12-20,0.7883509259141318,1.37200883082871
2021-12-21,0.77836989643268,1.3462313109795299
2021-12-22,0.7624092625967743,1.335679476484958
2021-12-23,0.7753503023809114,1.357696023063232
2021-12-27,0.760820581695647,1.3286563391152628
2021-12-28,0.74709860858923,1.3128333936947385
2021-12-29,0.7394645276705556,1.2854618187022324
2021-12-30,0.7251243410695557,1.2697609119716082
2021-12-31,0.7286070613955469,1.2687699941548474
2022-01-03,0.7302206282397941,1.255850047113182
2022-01-04,0.7997994372837536,1.2810654813272992
2022-01-05,0.7994055172890775,1.2631888896722063
2022-01-06,0.7858099464889398,1.2856161808130822
2022-01-07,0.8200846909210014,1.3734633727046097
2022-01-10,0.8082910256452899,1.3480513658786333
2022-01-11,0.7935721223956548,1.3274115770762838
2022-01-12,0.8216258853821421,1.3385362656156379
2022-01-13,0.805647070173769,1.3816855989481895
2022-01-14,0.7926294842720513,1.356078934876549
2022-01-18,0.779078306427345,1.3328336885733496
2022-01-19,0.7641091404197311,1.4097874138646924
2022-01-20,0.8276284166580099,1.5566426095120136
2022-01-21,0.8118019618972366,1.5404695535078594
2022-01-24,0.7981914958162356,1.5226843523265745
2022-01-25,0.790409794227951,1.5118929537332964
2022-01-26,0.7767952883882341,1.4778463629516843
2022-01-27,0.8477531817729467,1.4771787327029624
2022-01-28,0.8810277511812108,1.6325598921449695
2022-01-31,0.8637586254636481,1.6281435576818937
2022-02-01,0.8540403294995237,1.5900182707611643
2022-02-02,0.834957692918585,1.5581485396510872
2022-02-03,0.8202089158249051,1.5193567244665822
2022-02-04,0.8032174571839157,1.5022875954573647
2022-02-07,0.7866823279318542,1.4685763085269792
2022-02-08,0.7872688939997446,1.53076925254921
2022-02-09,0.7735254659423109,1.5063293532568975
2022-02-10,0.761106248477605,1.472258499109147
2022-02-11,0.751244107178572,1.4416535240045
2022-02-14,0.8494837346011735,1.4766739092124985
2022-02-15,0.8386053106150265,1.4604702673866474
2022-02-16,0.8492533314008988,1.5011905891712425
2022-02-17,0.8608741240542269,1.4916311640874054
2022-02-18,0.894436151947746,1.4669754730245423
2022-02-22,0.873867112070232,1.4343900079111764
2022-02-23,0.8549398093504336,1.4150595238142478
2022-02-24,0.8413712826116917,1.4501492872653492
2022-02-25,0.836451141722461,1.481019622499466
2022-02-28,0.8218677778452059,1.44845113531233
2022-03-01,0.8360665277245112,1.4327647526505414
2022-03-02,0.9118648035628296,1.6838741842411311
2022-03-03,0.9225661504380399,1.6487993255750009
2022-03-04,0.9099968635455299,1.6083961882257503
2022-03-07,0.9564698182166613,1.606672239205044
2022-03-08,0.9899030095662976,1.5671871638354373
2022-03-09,1.1407157809065602,1.6947112494309777
2022-03-10,1.3066343200682597,1.766764323002957
2022-03-11,1.2722617650709585,1.732557105867925
2022-03-14,1.2482492038300381,1.6924720648851086
2022-03-15,1.2633470766947763,1.7933881524522894
2022-03-16,1.3027232816524839,1.75299415425834
2022-03-17,1.274162086382039,1.710553143115993
2022-03-18,1.2437530924277085,1.6809436925945531
2022-03-21,1.2270715326842503,1.6668040473347323
2022-03-22,1.2055924001890514,1.6453841949763894
2022-03-23,1.1852697941454915,1.6534250124112422
2022-03-24,1.1927004912182908,1.6525128929976296
2022-03-25,1.1715924596830463,1.6526237570017528
2022-03-28,1.1444813154738265,1.6151984268018535
2022-03-29,1.1910997629094342,1.6687702558719284
